sku_id,category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
1,"Fruits & Vegetables",Onion,25.00,16.00,3,21.00,1000,0,1
2,"Fruits & Vegetables","Tomato Hybrid",42.00,16.00,3,35.00,1000,0,1
3,"Fruits & Vegetables","Tender Coconut",51.00,15.00,3,43.00,58,0,1
4,"Fruits & Vegetables","Coriander Leaves",20.00,15.00,3,17.00,100,0,100
5,"Fruits & Vegetables","Ladies Finger ",14.00,14.00,3,12.00,250,0,250
6,"Fruits & Vegetables",Potato,35.00,17.00,3,29.00,1000,0,1
7,"Fruits & Vegetables",Lemon,75.00,16.00,3,63.00,200,0,200
8,"Fruits & Vegetables","Watermelon ",58.00,15.00,3,49.00,58,0,1
9,"Fruits & Vegetables","Capsicum Green ",23.00,17.00,3,19.00,250,0,250
10,"Fruits & Vegetables","Chilli Green ",19.00,15.00,3,16.00,100,0,100
11,"Fruits & Vegetables","Banana Robusta",29.00,17.00,3,24.00,348,0,6
12,"Fruits & Vegetables","Garlic Indian ",11.00,18.00,3,9.00,100,0,100
13,"Fruits & Vegetables",Cauliflower,26.00,15.00,3,22.00,58,0,1
14,"Fruits & Vegetables",Ginger,14.00,14.00,3,12.00,200,0,200
15,"Fruits & Vegetables",Spinach,19.00,15.00,3,16.00,250,0,250
16,"Fruits & Vegetables",Muskmelon,42.00,16.00,3,35.00,58,0,1
17,"Fruits & Vegetables","Cabbage ",15.00,13.00,3,13.00,58,0,1
18,"Fruits & Vegetables",Methi,30.00,16.00,3,25.00,250,0,250
19,"Fruits & Vegetables",Broccoli,36.00,16.00,3,30.00,500,0,500
20,"Fruits & Vegetables",Sapota,30.00,16.00,3,25.00,348,0,6
21,"Fruits & Vegetables",Onion,68.00,16.00,3,57.00,3000,0,3
22,"Fruits & Vegetables",Potato,100.00,16.00,3,84.00,3000,0,3
23,"Fruits & Vegetables","Orange Nagpur",82.00,15.00,3,69.00,232,0,4
24,"Fruits & Vegetables","Mint Leaves ",11.00,18.00,3,9.00,100,0,100
25,"Fruits & Vegetables","Beans French",33.00,15.00,3,28.00,250,0,250
26,"Fruits & Vegetables","Bottle Gourd ",26.00,15.00,3,22.00,58,0,1
27,"Fruits & Vegetables","Banana Elaichi ",58.00,15.00,3,49.00,348,0,6
28,"Fruits & Vegetables","Coconut Big",36.00,16.00,3,30.00,58,0,1
29,"Fruits & Vegetables","Curry Leaves",13.00,15.00,3,11.00,50,0,50
30,"Fruits & Vegetables","Brinjal Bharta",19.00,15.00,3,16.00,58,0,1
31,"Fruits & Vegetables","Lettuce Iceberg",25.00,16.00,3,21.00,250,0,250
32,"Fruits & Vegetables",Papaya,54.00,16.00,3,45.00,58,0,1
33,"Fruits & Vegetables","Apple Shimla",142.00,16.00,3,119.00,232,0,4
34,"Fruits & Vegetables","Bitter Gourd",18.00,16.00,3,15.00,250,0,250
35,"Fruits & Vegetables","Brinjal Small",18.00,16.00,3,15.00,250,0,250
36,"Fruits & Vegetables","Sweet Corn",36.00,16.00,3,30.00,116,0,2
37,"Fruits & Vegetables","Spring Onion ",18.00,16.00,3,15.00,250,0,250
38,"Fruits & Vegetables","Bell Peppers Red & Yellow ",118.00,16.00,3,99.00,116,0,2
39,"Fruits & Vegetables","Pomegranate ",106.00,16.00,3,89.00,116,0,2
40,"Fruits & Vegetables","Sweet Lime",30.00,16.00,3,25.00,116,0,2
41,"Fruits & Vegetables","Baby Potato",19.00,15.00,3,16.00,500,0,500
42,"Fruits & Vegetables",Coccinia,32.00,15.00,3,27.00,250,0,250
43,"Fruits & Vegetables",Guava,54.00,16.00,3,45.00,232,0,4
44,"Fruits & Vegetables","Apple Washington",177.00,15.00,3,149.00,232,0,4
45,"Fruits & Vegetables",Amla,32.00,15.00,3,27.00,250,0,250
46,"Fruits & Vegetables","Beans Cluster",30.00,16.00,3,25.00,250,0,250
47,"Fruits & Vegetables","Apple Royal Gala",189.00,15.00,3,159.00,232,0,4
48,"Fruits & Vegetables","Chilli Bhaji",30.00,16.00,3,25.00,250,0,250
49,"Fruits & Vegetables","Lettuce Green",23.00,17.00,3,19.00,100,0,100
50,"Fruits & Vegetables","Baby Corn Peeled",35.00,17.00,3,29.00,250,0,250
51,"Fruits & Vegetables","Mixed Sprouts",35.00,17.00,3,29.00,200,0,200
52,"Fruits & Vegetables","Zucchini Green",35.00,17.00,3,29.00,250,0,250
53,"Fruits & Vegetables","Beans Broad",42.00,16.00,3,35.00,250,0,250
54,"Fruits & Vegetables","Raw Banana",20.00,15.00,6,17.00,500,0,500
55,"Fruits & Vegetables","Colocasia ",29.00,17.00,6,24.00,500,0,500
56,"Fruits & Vegetables","Tomato Cherry ",35.00,17.00,3,29.00,200,0,200
